time;logN;trial
0;6.86;1
0.03;6;1
0.07;4.88;1
0.1;4.24;1
0.13;4;1
0.17;3.63;1
0.2;3.48;1
0.23;3.06;1
0.27;3.03;1
0.3;2.56;1
0;7.1;2
0.03;6;2
0.07;6;2
0.1;5.24;2
0.13;4.3;2
0.17;4.1;2
0.2;3.7;2
0.23;3.63;2
0.27;3.01;2
0.3;2.15;2
0;7.2;3
0.03;6.72;3
0.07;5.68;3
0.1;5.24;3
0.13;4.24;3
0.17;4.18;3
0.2;3.68;3
0.23;3.01;3
0.27;2.64;3
0.3;2;3
0;6.44;4
0.03;6.3;4
0.07;5.8;4
0.1;5.48;4
0.13;5.51;4
0.17;4.92;4
0.2;4.68;4
0.23;4.35;4
0.27;3.35;4
0.3;3.18;4
0;6.86;5
0.03;5.95;5
0.07;5.54;5
0.1;5.4;5
0.13;4.92;5
0.17;4.65;5
0.2;4.54;5
0.23;4.4;5
0.27;3.13;5
0.3;3.03;5
0;7.15;6
0.03;6.8;6
0.07;5.72;6
0.1;5.4;6
0.13;4.68;6
0.17;4.65;6
0.2;4.35;6
0.23;4.18;6
0.27;3.88;6
0.3;3.7;6
0;7.14;7
0.03;6.44;7
0.07;6.1;7
0.1;5.24;7
0.13;4.48;7
0.17;4.48;7
0.2;4.4;7
0.23;3.81;7
0.27;3.68;7
0.3;3.57;7
0;6.72;8
0.03;5.88;8
0.07;5.35;8
0.1;5.18;8
0.13;4.92;8
0.17;4.54;8
0.2;4.3;8
0.23;3.7;8
0.27;3;8
0.3;2.7;8
0;7.11;9
0.03;6.57;9
0.07;6.1;9
0.1;5;9
0.13;4.63;9
0.17;4.4;9
0.2;4.24;9
0.23;3.7;9
0.27;3.68;9
0.3;3.57;9
0;7.22;10
0.03;6.24;10
0.07;5.88;10
0.1;5.44;10
0.13;5.1;10
0.17;4.24;10
0.2;4.24;10
0.23;3.7;10
0.27;3.35;10
0.3;3.1;10
0;6.63;11
0.03;6.4;11
0.07;6.1;11
0.1;5.57;11
0.13;5.18;11
0.17;5.18;11
0.2;4.3;11
0.23;4.24;11
0.27;3.74;11
0.3;3.35;11
0;7.05;12
0.03;6.1;12
0.07;6.1;12
0.1;5.4;12
0.13;5.24;12
0.17;5;12
0.2;4.44;12
0.23;4.24;12
0.27;3.7;12
0.3;3.7;12
0;7.18;13
0.03;6.7;13
0.07;5.51;13
0.1;5.4;13
0.13;4.72;13
0.17;4.54;13
0.2;4.54;13
0.23;4.24;13
0.27;3.57;13
0.3;2.7;13
0;6.89;14
0.03;5.9;14
0.07;5.3;14
0.1;5.1;14
0.13;4.48;14
0.17;4.35;14
0.2;3.7;14
0.23;3.57;14
0.27;3.18;14
0.3;3;14
0;7.31;15
0.03;6.68;15
0.07;5.65;15
0.1;5.44;15
0.13;5.3;15
0.17;4.86;15
0.2;4.35;15
0.23;4.1;15
0.27;3.85;15
0.3;3.65;15
0;7.37;16
0.03;6.18;16
0.07;6.24;16
0.1;5.24;16
0.13;4.19;16
0.17;3.86;16
0.2;3.3;16
0.23;3.18;16
0.27;2.78;16
0.3;2.58;16
0;7.28;17
0.03;6.4;17
0.07;5.54;17
0.1;5.51;17
0.13;4.44;17
0.17;3.78;17
0.2;3.24;17
0.23;3.07;17
0.27;2.73;17
0.3;2.51;17
0;7.11;18
0.03;6.6;18
0.07;6.35;18
0.1;4.8;18
0.13;4.51;18
0.17;3.7;18
0.2;3.44;18
0.23;3.13;18
0.27;2.75;18
0.3;2.45;18
