time;logN;trial
0;7.15;1
0.01;6.81;1
0.01;6.18;1
0.02;6;1
0.02;5.4;1
0.03;5.18;1
0.03;4.18;1
0.04;3.7;1
0.04;3.65;1
0.05;3.44;1
0;7.08;2
0.01;6.72;2
0.01;5.7;2
0.02;5.57;2
0.02;4.83;2
0.03;4.57;2
0.03;4.3;2
0.04;4.18;2
0.04;3.63;2
0.05;3.4;2
0;7.02;3
0.01;6.51;3
0.01;6.4;3
0.02;6.44;3
0.02;5.3;3
0.03;5.24;3
0.03;4.3;3
0.04;4.1;3
0.04;3;3
0.05;2.7;3
0;7.09;4
0.01;5.3;4
0.01;4.7;4
0.02;3.54;4
0.02;3;4
0.03;2.7;4
0.03;2.7;4
0.04;2.53;4
0.04;1.9;4
0.05;1.3;4
0;7.15;5
0.01;6.78;5
0.01;5.88;5
0.02;4.4;5
0.02;4;5
0.03;3.78;5
0.03;3.15;5
0.04;3.11;5
0.04;2.51;5
0.05;1.6;5
0;7.23;6
0.01;6.3;6
0.01;5.7;6
0.02;4;6
0.02;3.95;6
0.03;3.57;6
0.03;3;6
0.04;2.62;6
0.04;2.34;6
0.05;2.2;6
0;6.94;7
0.01;6.35;7
0.01;5.44;7
0.02;4.3;7
0.02;3.7;7
0.03;3.7;7
0.03;2.88;7
0.04;2.7;7
0.04;2.51;7
0.05;2;7
0;6.24;8
0.01;5.7;8
0.01;5;8
0.02;4.35;8
0.02;3.7;8
0.03;3.48;8
0.03;3.24;8
0.04;2.7;8
0.04;2.66;8
0.05;2.15;8
0;6.76;9
0.01;5.88;9
0.01;4.63;9
0.02;3.89;9
0.02;3.54;9
0.03;3.1;9
0.03;2.88;9
0.04;2.72;9
0.04;2.15;9
0.05;1.6;9
0;6.63;10
0.01;5.89;10
0.01;5.4;10
0.02;4.7;10
0.02;4;10
0.03;3.74;10
0.03;3.51;10
0.04;3;10
0.04;2.7;10
0.05;2.7;10
0;6.68;11
0.01;5.98;11
0.01;5.05;11
0.02;4.8;11
0.02;4.51;11
0.03;3.85;11
0.03;3.76;11
0.04;3.3;11
0.04;3.18;11
0.05;2.73;11
0;6.76;12
0.01;5.92;12
0.01;5.3;12
0.02;4.88;12
0.02;4.1;12
0.03;3.88;12
0.03;3;12
0.04;2.85;12
0.04;2.2;12
0.05;2.12;12
0;6.3;13
0.01;6.18;13
0.01;4.81;13
0.02;4.18;13
0.02;3.88;13
0.03;3.76;13
0.03;3.03;13
0.04;2.78;13
0.04;2.68;13
0.05;2.53;13
0;7.12;14
0.01;5.7;14
0.01;4.94;14
0.02;4.68;14
0.02;4.44;14
0.03;3.68;14
0.03;3.1;14
0.04;3.02;14
0.04;2.53;14
0.05;2.41;14
0;6.99;15
0.01;5;15
0.01;4.54;15
0.02;4.24;15
0.02;4;15
0.03;3.68;15
0.03;3.03;15
0.04;2.98;15
0.04;2.48;15
0.05;1.6;15
0;7.01;16
0.01;6.1;16
0.01;5.44;16
0.02;4.24;16
0.02;3.68;16
0.03;3.4;16
0.03;3.1;16
0.04;2.53;16
0.04;2.08;16
0.05;2.08;16
0;7.1;17
0.01;6.35;17
0.01;5.48;17
0.02;5;17
0.02;4.44;17
0.03;2.7;17
0.03;2.7;17
0.04;2.48;17
0.04;2.38;17
0.05;2.26;17
0;7.19;18
0.01;6.4;18
0.01;6.35;18
0.02;4.4;18
0.02;3.85;18
0.03;3.4;18
0.03;3.24;18
0.04;2.2;18
0.04;1.9;18
0.05;1.6;18
