time;logN;trial
0;7.33;1
0.01;6.83;1
0.02;6.83;1
0.03;6.74;1
0.03;6.3;1
0.04;5.51;1
0.05;5.44;1
0.06;4.3;1
0.07;4.24;1
0.08;4.18;1
0;7.12;2
0.01;6.81;2
0.02;6.44;2
0.03;6.24;2
0.03;6;2
0.04;5.3;2
0.05;4.7;2
0.06;4.44;2
0.07;4.24;2
0.08;4.18;2
0;7.22;3
0.01;6.65;3
0.02;6.1;3
0.03;5.97;3
0.03;5.44;3
0.04;5.24;3
0.05;4.6;3
0.06;4.1;3
0.07;3.65;3
0.08;3.4;3
0;7.4;4
0.01;6.18;4
0.02;5.99;4
0.03;5.6;4
0.03;5.18;4
0.04;4.3;4
0.05;3.83;4
0.06;3.24;4
0.07;2.79;4
0.08;2.15;4
0;7.33;5
0.01;6.35;5
0.02;6.35;5
0.03;5.8;5
0.03;4.88;5
0.04;4.65;5
0.05;3.88;5
0.06;3.18;5
0.07;2.68;5
0.08;2.62;5
0;7.34;6
0.01;6.1;6
0.02;5.68;6
0.03;5.57;6
0.03;5.4;6
0.04;3.95;6
0.05;3.7;6
0.06;2.82;6
0.07;2.53;6
0.08;2.08;6
0;7.03;7
0.01;6.83;7
0.02;6.1;7
0.03;6;7
0.03;5.3;7
0.04;5.1;7
0.05;4.48;7
0.06;4.1;7
0.07;3.65;7
0.08;3.4;7
0;7.02;8
0.01;5.88;8
0.02;5.54;8
0.03;5.35;8
0.03;5.1;8
0.04;4;8
0.05;3.57;8
0.06;3.51;8
0.07;3.48;8
0.08;3.1;8
0;6.94;9
0.01;6.78;9
0.02;6.44;9
0.03;5.88;9
0.03;5.88;9
0.04;4.7;9
0.05;4.48;9
0.06;4;9
0.07;3.83;9
0.08;3.76;9
0;6.51;10
0.01;5.74;10
0.02;5.48;10
0.03;5.57;10
0.03;5.18;10
0.04;4.72;10
0.05;4.54;10
0.06;3.58;10
0.07;3.07;10
0.08;3.1;10
0;6.35;11
0.01;5.85;11
0.02;5.3;11
0.03;5.1;11
0.03;4.7;11
0.04;4.48;11
0.05;4.4;11
0.06;4.1;11
0.07;3.61;11
0.08;3.48;11
0;6.63;12
0.01;5.86;12
0.02;5.65;12
0.03;4.88;12
0.03;4.72;12
0.04;4.24;12
0.05;4;12
0.06;3.32;12
0.07;3.28;12
0.08;2.53;12
0;7.23;13
0.01;6.1;13
0.02;5.18;13
0.03;4.57;13
0.03;4.3;13
0.04;3.88;13
0.05;3.35;13
0.06;2.6;13
0.07;2.51;13
0.08;2.26;13
0;7.03;14
0.01;6.24;14
0.02;5.1;14
0.03;5;14
0.03;4.35;14
0.04;3.65;14
0.05;2.7;14
0.06;2.38;14
0.07;2.2;14
0.08;2.08;14
0;7.39;15
0.01;6.44;15
0.02;4.7;15
0.03;4.51;15
0.03;3.51;15
0.04;3.24;15
0.05;3;15
0.06;2.75;15
0.07;2.66;15
0.08;2.64;15
0;7.15;16
0.01;6.18;16
0.02;5.24;16
0.03;4.88;16
0.03;3.88;16
0.04;3.51;16
0.05;3.18;16
0.06;2.56;16
0.07;2.53;16
0.08;1.78;16
0;7.2;17
0.01;4.7;17
0.02;4.24;17
0.03;3.7;17
0.03;3.44;17
0.04;2.88;17
0.05;2.7;17
0.06;2.53;17
0.07;1.9;17
0.08;1.78;17
0;7.2;18
0.01;6.18;18
0.02;4.88;18
0.03;3.88;18
0.03;3.6;18
0.04;3.1;18
0.05;2.7;18
0.06;2.48;18
0.07;2.41;18
0.08;2;18
