time;logN;trial
0;6.74;1
0.03;5.89;1
0.07;5.85;1
0.1;5.6;1
0.13;5.24;1
0.17;4.72;1
0.2;3.88;1
0.23;3.83;1
0.27;3.46;1
0.3;2.98;1
0;6;2
0.03;6.13;2
0.07;5.74;2
0.1;5.3;2
0.13;4.81;2
0.17;4.51;2
0.2;4.18;2
0.23;3.7;2
0.27;3.2;2
0.3;3;2
0;7.36;3
0.03;6.97;3
0.07;5.54;3
0.1;4.4;3
0.13;3.92;3
0.17;3.35;3
0.2;3.35;3
0.23;2.72;3
0.27;2.53;3
0.3;1.78;3
0;7.4;4
0.03;6.76;4
0.07;5.18;4
0.1;3.99;4
0.13;3.93;4
0.17;3.35;4
0.2;3.3;4
0.23;3.15;4
0.27;2.6;4
0.3;2.26;4
0;6.92;5
0.03;6.48;5
0.07;5.78;5
0.1;5.48;5
0.13;4.89;5
0.17;4.4;5
0.2;4;5
0.23;3.65;5
0.27;3.2;5
0.3;3.18;5
0;7.42;6
0.03;6.3;6
0.07;4.68;6
0.1;4.18;6
0.13;3.88;6
0.17;3.7;6
0.2;3.38;6
0.23;3.05;6
0.27;2.75;6
0.3;2.2;6
0;7.19;7
0.03;5.3;7
0.07;4.35;7
0.1;3.88;7
0.13;3.7;7
0.17;3.18;7
0.2;3;7
0.23;2.81;7
0.27;2.2;7
0.3;1.3;7
0;7.16;8
0.03;5.1;8
0.07;5;8
0.1;4;8
0.13;3.7;8
0.17;3.24;8
0.2;3;8
0.23;2.66;8
0.27;2.3;8
0.3;2.15;8
0;7.18;9
0.03;6.1;9
0.07;5;9
0.1;4.18;9
0.13;3.88;9
0.17;3.1;9
0.2;3;9
0.23;2.7;9
0.27;2.15;9
0.3;2.08;9
0;7.34;10
0.03;6.44;10
0.07;5.1;10
0.1;4.3;10
0.13;4.1;10
0.17;3.35;10
0.2;3.18;10
0.23;2.9;10
0.27;2.7;10
0.3;2.58;10
0;7.23;11
0.03;5.8;11
0.07;4.24;11
0.1;4.18;11
0.13;4.05;11
0.17;3.54;11
0.2;3.35;11
0.23;3.03;11
0.27;2.81;11
0.3;2.72;11
0;7.32;12
0.03;5.7;12
0.07;4.83;12
0.1;4.3;12
0.13;3.72;12
0.17;3.54;12
0.2;2.79;12
0.23;2.62;12
0.27;2.58;12
0.3;2.53;12
0;7.24;13
0.03;5.51;13
0.07;4.24;13
0.1;3.99;13
0.13;3.6;13
0.17;3.24;13
0.2;2.88;13
0.23;2.88;13
0.27;2.26;13
0.3;2.2;13
0;6.93;14
0.03;5.24;14
0.07;4.35;14
0.1;3.85;14
0.13;3.51;14
0.17;3.24;14
0.2;2.88;14
0.23;2.7;14
0.27;2.15;14
0.3;1.9;14
0;7.17;15
0.03;5.24;15
0.07;4.08;15
0.1;3.88;15
0.13;3.4;15
0.17;3.18;15
0.2;2.7;15
0.23;2.48;15
0.27;2.15;15
0.3;1.78;15
0;7.15;16
0.03;6.68;16
0.07;6.6;16
0.1;5.63;16
0.13;4.51;16
0.17;4.1;16
0.2;3.8;16
0.23;3.18;16
0.27;3.05;16
0.3;1.78;16
0;6.94;17
0.03;6.4;17
0.07;5.88;17
0.1;5.83;17
0.13;4.9;17
0.17;4.65;17
0.2;3.81;17
0.23;3.74;17
0.27;3.16;17
0.3;2.38;17
0;7.06;18
0.03;7;18
0.07;6.81;18
0.1;6.3;18
0.13;5.54;18
0.17;5.18;18
0.2;4.51;18
0.23;3.74;18
0.27;2.76;18
0.3;2.58;18
