time;logN;trial
0;6.92;1
0.01;6.1;1
0.01;4.88;1
0.02;3.81;1
0.02;3.35;1
0.03;3.35;1
0.03;3.18;1
0.04;3.09;1
0.04;3.06;1
0.05;2.38;1
0;6.85;2
0.01;5.7;2
0.01;4.4;2
0.02;3.54;2
0.02;3.4;2
0.03;3.18;2
0.03;3.1;2
0.04;3;2
0.04;2.88;2
0.05;2.7;2
0;6.1;3
0.01;5.48;3
0.01;4;3
0.02;3;3
0.02;2.88;3
0.03;2.88;3
0.03;2.7;3
0.04;2.62;3
0.04;2.6;3
0.05;2.6;3
0;7.12;4
0.01;5.3;4
0.01;3.65;4
0.02;3.18;4
0.02;3.1;4
0.03;2.51;4
0.03;2.3;4
0.04;2.15;4
0.04;2.15;4
0.05;1.78;4
0;7;5
0.01;5;5
0.01;3.35;5
0.02;2.7;5
0.02;2.7;5
0.03;2.56;5
0.03;2.26;5
0.04;2.15;5
0.04;2.15;5
0.05;2;5
0;7.21;6
0.01;4.97;6
0.01;3.97;6
0.02;3.24;6
0.02;2.7;6
0.03;2.64;6
0.03;2.41;6
0.04;2.2;6
0.04;2.2;6
0.05;1.78;6
0;7.3;7
0.01;6.1;7
0.01;5.88;7
0.02;4.24;7
0.02;4.18;7
0.03;3.57;7
0.03;2.7;7
0.04;2.7;7
0.04;2.7;7
0.05;2.7;7
0;7.31;8
0.01;5.7;8
0.01;5.4;8
0.02;4.4;8
0.02;4.18;8
0.03;3.76;8
0.03;3.3;8
0.04;3.1;8
0.04;2.7;8
0.05;2.7;8
0;7.3;9
0.01;4.7;9
0.01;4.24;9
0.02;3.18;9
0.02;3.1;9
0.03;2.88;9
0.03;2.7;9
0.04;2.72;9
0.04;2.48;9
0.05;2.08;9
0;6.68;10
0.01;5.24;10
0.01;4.3;10
0.02;3.7;10
0.02;3.18;10
0.03;2.88;10
0.03;2.82;10
0.04;2.58;10
0.04;1.78;10
0.05;1.78;10
0;7.37;11
0.01;6;11
0.01;4.02;11
0.02;3.63;11
0.02;3;11
0.03;3;11
0;6.63;12
0.01;5.35;12
0.01;4.1;12
0.02;3.68;12
0.02;3.65;12
0.03;3.4;12
0.03;3.1;12
0.04;2.87;12
0.04;2.38;12
0.05;2.2;12
0;6.89;13
0.01;5.1;13
0.01;4.7;13
0.02;3;13
0.02;2.7;13
0.03;2.7;13
0.03;2.66;13
0.04;1.9;13
0.04;1.9;13
0.05;1.78;13
0;6.97;14
0.01;5.7;14
0.01;4.35;14
0.02;3.18;14
0.02;2.88;14
0.03;2.7;14
0.03;2.41;14
0.04;2.34;14
0.04;1.6;14
0.05;1.6;14
0;7.03;15
0.01;5.24;15
0.01;3.88;15
0.02;3.48;15
0.02;2.7;15
0.03;2.7;15
0.03;2.08;15
0.04;2;15
0.04;1.9;15
0.05;1.3;15
0;7.35;16
0.01;6.3;16
0.01;4.44;16
0.02;3.63;16
0.02;3.4;16
0.03;2.88;16
0.03;2.7;16
0.04;2.81;16
0.04;2.15;16
0.05;1.6;16
0;7.39;17
0.01;6;17
0.01;4;17
0.02;3.57;17
0.02;3.18;17
0.03;2.88;17
0.03;2.73;17
0.04;2.58;17
0.04;2.08;17
0.05;1.78;17
0;7.38;18
0.01;6.24;18
0.01;3.88;18
0.02;3.7;18
0.02;3.35;18
0.03;3;18
0.03;2.88;18
0.04;2.78;18
0.04;2.51;18
0.05;1.9;18
