time;logN;trial
0;7.18;1
0.03;6.92;1
0.07;5;1
0.1;4.7;1
0.13;3.7;1
0.17;2.88;1
0.2;2.85;1
0.23;2.75;1
0.27;2.48;1
0.3;2.26;1
0;7.24;2
0.03;6.24;2
0.07;3.88;2
0.1;3.88;2
0.13;3.6;2
0.17;3.02;2
0.2;2.95;2
0.23;2.66;2
0.27;2.41;2
0.3;2.41;2
0;7.26;3
0.03;5.51;3
0.07;4.7;3
0.1;4;3
0.13;3.6;3
0.17;3.1;3
0.2;2.91;3
0.23;2.75;3
0.27;2.72;3
0.3;1.9;3
0;7.11;4
0.03;6.1;4
0.07;5.18;4
0.1;3.88;4
0.13;3.7;4
0.17;3.24;4
0.2;3;4
0.23;2.88;4
0.27;2.88;4
0.3;2.7;4
0;7.24;5
0.03;6.3;5
0.07;5.18;5
0.1;4.3;5
0.13;4.24;5
0.17;4;5
0.2;3.24;5
0.23;3.1;5
0.27;3.1;5
0.3;2.88;5
0;7.27;6
0.03;6.3;6
0.07;5;6
0.1;4.7;6
0.13;4.1;6
0.17;3.48;6
0.2;3.3;6
0.23;3.3;6
0.27;3.1;6
0.3;2.88;6
0;6.7;7
0.03;6.3;7
0.07;5.54;7
0.1;4.8;7
0.13;4.4;7
0.17;4;7
0.2;3.18;7
0.23;2.88;7
0.27;2.86;7
0.3;2.79;7
0;6.68;8
0.03;6.48;8
0.07;5.8;8
0.1;5.24;8
0.13;5.18;8
0.17;4.88;8
0.2;4.7;8
0.23;4.22;8
0.27;3.39;8
0.3;3.15;8
0;6.63;9
0.03;6;9
0.07;5.88;9
0.1;5.57;9
0.13;5.1;9
0.17;4.65;9
0.2;4.1;9
0.23;4.1;9
0.27;4;9
0.3;3.24;9
0;7.15;10
0.03;7.02;10
0.07;6.78;10
0.1;5.85;10
0.13;5.81;10
0.17;5.24;10
0.2;5;10
0.23;4.65;10
0.27;4.51;10
0.3;3.24;10
0;7.03;11
0.03;7;11
0.07;6.98;11
0.1;6.48;11
0.13;6;11
0.17;5.18;11
0.2;4.85;11
0.23;4.76;11
0.27;4.15;11
0.3;3.54;11
0;7.31;12
0.03;6.92;12
0.07;5.78;12
0.1;5.78;12
0.13;5.83;12
0.17;4.44;12
0.2;4.44;12
0.23;4.24;12
0.27;3.76;12
0.3;3.44;12
0;7.29;13
0.03;6.68;13
0.07;5.88;13
0.1;4.7;13
0.13;3.76;13
0.17;3.68;13
0.2;3.4;13
0.23;3.18;13
0.27;3.1;13
0.3;3;13
0;7.37;14
0.03;6.48;14
0.07;5.4;14
0.1;4.88;14
0.13;4;14
0.17;3.76;14
0.2;3.3;14
0.23;3.3;14
0.27;2.88;14
0.3;2.2;14
0;7.27;15
0.03;6.18;15
0.07;5.88;15
0.1;4.7;15
0.13;3.88;15
0.17;3.51;15
0.2;3.24;15
0.23;2.7;15
0.27;2.53;15
0.3;2.15;15
0;7.01;16
0.03;6.9;16
0.07;6.35;16
0.1;5.86;16
0.13;5.24;16
0.17;4.54;16
0.2;3.3;16
0.23;3.24;16
0.27;2.89;16
0.3;2.85;16
0;7.05;17
0.03;6.63;17
0.07;6.4;17
0.1;5.48;17
0.13;4.72;17
0.17;4.63;17
0.2;4.57;17
0.23;3.18;17
0.27;2.93;17
0.3;2.87;17
0;6.95;18
0.03;6.65;18
0.07;6.57;18
0.1;5.6;18
0.13;5.18;18
0.17;3.98;18
0.2;3.85;18
0.23;3.68;18
0.27;2.98;18
0.3;2.93;18
