time;logN;trial
0;7.12;1
0.12;6.18;1
0.23;5.51;1
0.35;4.89;1
0.47;4.88;1
0.58;4.44;1
0.7;3.1;1
0.82;2.88;1
0.93;2.87;1
1.05;2.86;1
0;7.52;2
0.12;4.85;2
0.23;4.18;2
0.35;3.6;2
0.47;3.44;2
0.58;3.01;2
0.7;2.75;2
0.82;2.72;2
0.93;2.7;2
1.05;2.38;2
0;6.98;3
0.12;6.24;3
0.23;4.63;3
0.35;3.88;3
0.47;3.7;3
0.58;3.35;3
0.7;3.67;3
0.82;2.79;3
0.93;2.73;3
1.05;2.64;3
0;6.85;4
0.12;6.35;4
0.23;5.44;4
0.35;5.24;4
0.47;4.8;4
0.58;4.4;4
0.7;4.2;4
0.82;3.89;4
0.93;3.74;4
1.05;3.57;4
0;7.09;5
0.12;6.24;5
0.23;5.35;5
0.35;5.3;5
0.47;5.24;5
0.58;4.63;5
0.7;4.35;5
0.82;3.95;5
0.93;3.72;5
1.05;2.88;5
0;7.22;6
0.12;6.57;6
0.23;5.51;6
0.35;5.24;6
0.47;5.1;6
0.58;4.44;6
0.7;4.3;6
0.82;4.44;6
0.93;3.57;6
1.05;3.3;6
0;7.02;7
0.12;6;7
0.23;4.86;7
0.35;4.3;7
0.47;4.24;7
0.58;3.93;7
0.7;3.35;7
0.82;3.1;7
0.93;2.89;7
1.05;2.72;7
0;7.01;8
0.12;5.72;8
0.23;5.4;8
0.35;4.24;8
0.47;3.7;8
0.58;3.74;8
0.7;3.35;8
0.82;3.3;8
0.93;3.11;8
1.05;2.99;8
0;6.8;9
0.12;5.7;9
0.23;5.35;9
0.35;5.24;9
0.47;4.4;9
0.58;4;9
0.7;3.7;9
0.82;3.1;9
0.93;3;9
0;6.8;10
0.12;5.76;10
0.23;5.18;10
0.35;5;10
0.47;4.7;10
0.58;4.51;10
0.7;4.44;10
0.82;4;10
0.93;3.24;10
1.05;3;10
0;6.83;11
0.12;6.48;11
0.23;5.72;11
0.35;4.88;11
0.47;4.88;11
0.58;4.63;11
0.7;4.44;11
0.82;3.81;11
0.93;3.48;11
1.05;2.88;11
0;6.9;12
0.12;6.48;12
0.23;5.54;12
0.35;5.4;12
0.47;4.35;12
0.58;4.3;12
0.7;3.7;12
0.82;3.63;12
0.93;2.73;12
1.05;2.58;12
0;6.85;13
0.12;6;13
0.23;4.88;13
0.35;4;13
0.47;3.88;13
0.58;3.51;13
0.7;3.3;13
0.82;3.18;13
0.93;3.09;13
1.05;2.83;13
0;7.1;14
0.12;6.51;14
0.23;5.44;14
0.35;4.43;14
0.47;4.16;14
0.58;3.94;14
0.7;3.63;14
0.82;3.34;14
0.93;3.03;14
1.05;2.82;14
0;6.88;15
0.12;6.44;15
0.23;4.88;15
0.35;4.54;15
0.47;4;15
0.58;3.3;15
0.7;3.1;15
0.82;3.06;15
0.93;3.02;15
1.05;2.78;15
0;7.01;16
0.12;6.76;16
0.23;6.57;16
0.35;5.85;16
0.47;5.18;16
0.58;4.88;16
0.7;4.7;16
0.82;4.74;16
0.93;4.44;16
1.05;3.44;16
0;7.12;17
0.12;6.48;17
0.23;6;17
0.35;5.65;17
0.47;5.18;17
0.58;4.7;17
0.7;4.48;17
0.82;4.24;17
0.93;3.44;17
1.05;2.96;17
0;6.93;18
0.12;6.24;18
0.23;5.44;18
0.35;5.24;18
0.47;5.18;18
0.58;4.35;18
0.7;4.24;18
0.82;3.88;18
0.93;3.24;18
1.05;3.02;18
