time;logN;trial
0;7.06;1
0.12;6.1;1
0.23;5.7;1
0.35;4.88;1
0.47;3.88;1
0.58;3.54;1
0.7;3.48;1
0.82;3.52;1
0.93;3.26;1
1.05;3.05;1
0;7.15;2
0.12;5.51;2
0.23;4.63;2
0.35;3.97;2
0.47;3.86;2
0.58;3.6;2
0.7;3.33;2
0.82;2.53;2
0.93;2.53;2
1.05;2.41;2
0;6.99;3
0.12;5.88;3
0.23;5.63;3
0.35;5.35;3
0.47;5.18;3
0.58;3.7;3
0.7;3.7;3
0.82;3.18;3
0.93;3.11;3
1.05;2.38;3
0;7.24;4
0.12;6;4
0.23;5.1;4
0.35;4.35;4
0.47;4.1;4
0.58;4.1;4
0.7;3.4;4
0.82;3.3;4
0.93;3.24;4
1.05;2.3;4
0;7.26;5
0.12;6.68;5
0.23;5.44;5
0.35;4.51;5
0.47;3.88;5
0.58;3.88;5
0.7;3.54;5
0.82;3.24;5
0.93;3.1;5
1.05;2.7;5
0;7.26;6
0.12;6.57;6
0.23;5.35;6
0.35;4.3;6
0.47;4;6
0.58;3.7;6
0.7;3.35;6
0.82;3.1;6
0.93;3.1;6
1.05;2.88;6
0;7.37;7
0.12;6.89;7
0.23;6.51;7
0.35;5.6;7
0.47;5.3;7
0.58;4.63;7
0.7;4.24;7
0.82;3.85;7
0.93;3.74;7
1.05;3.44;7
0;7.31;8
0.12;6.9;8
0.23;6.51;8
0.35;5.3;8
0.47;5.18;8
0.58;4.57;8
0.7;4.1;8
0.82;3.76;8
0.93;3.7;8
1.05;3.48;8
0;7.32;9
0.12;6.65;9
0.23;6.48;9
0.35;5.57;9
0.47;5.57;9
0.58;4.78;9
0.7;4.51;9
0.82;4.05;9
0.93;3.97;9
1.05;3.48;9
0;7.34;10
0.12;6;10
0.23;5.44;10
0.35;4.54;10
0.47;3.88;10
0.58;3.7;10
0.7;3.4;10
0.82;3.18;10
0.93;2.7;10
1.05;2.73;10
0;7.34;11
0.12;6.18;11
0.23;5.3;11
0.35;4.1;11
0.47;4.1;11
0.58;3.7;11
0.7;3.48;11
0.82;3.1;11
0.93;2.82;11
1.05;2.78;11
0;7.33;12
0.12;5.94;12
0.23;5.44;12
0.35;4.54;12
0.47;4.24;12
0.58;4.1;12
0.7;3.72;12
0.82;3.06;12
0.93;2.76;12
1.05;2.66;12
0;6.78;13
0.12;6.74;13
0.23;6.35;13
0.35;6.18;13
0.47;5.7;13
0.58;5.4;13
0.7;4.1;13
0.82;4.04;13
0.93;3.13;13
1.05;2.96;13
0;6.95;14
0.12;6.93;14
0.23;5.76;14
0.35;5.6;14
0.47;5.4;14
0.58;5.35;14
0.7;4.63;14
0.82;3.89;14
0.93;3.29;14
1.05;3.06;14
0;6.81;15
0.12;6.8;15
0.23;6.6;15
0.35;6.35;15
0.47;5.85;15
0.58;5;15
0.7;4.6;15
0.82;3.89;15
0.93;3.05;15
1.05;3.01;15
0;7.14;16
0.12;6.94;16
0.23;6.63;16
0.35;6.18;16
0.47;5.51;16
0.58;4.88;16
0.7;4.78;16
0.82;3.78;16
0.93;3.68;16
1.05;3;16
0;7.14;17
0.12;6.95;17
0.23;6.6;17
0.35;6.4;17
0.47;6.18;17
0.58;5.35;17
0.7;4.4;17
0.82;3.7;17
0.93;3.16;17
1.05;2.6;17
0;7.02;18
0.12;6.97;18
0.23;6.57;18
0.35;6.1;18
0.47;5.57;18
0.58;5.44;18
0.7;4.74;18
0.82;4.1;18
0.93;3.44;18
1.05;2.7;18
